energy,fit,true_isr_slice,slice_cut,n_standard_valid,n_eligible_p_lt_003,n_attempted,n_fit_valid,n_applied,n_recovered,eligible_fraction_pct,attempted_over_eligible_pct,fit_valid_over_attempted_pct,applied_over_attempted_pct,recovered_over_applied_pct,applied_over_standard_pct,n_correlation,rho_signed_pz,rho_energy,mean_true_pz,mean_fitted_pz,pz_bias,pz_residual_rms,mean_true_energy,mean_fitted_energy,energy_bias,energy_residual_rms
365 GeV,4C+ISR,all,"1",45480,20699,20699,20696,20696,11145,45.5123131,100,99.98550655,99.98550655,53.8509857,45.5057168,20696,0.6787219669,0.580181484,-0.1382689957,0.2018903407,0.3401593365,40.00879255,22.17079029,36.13079809,13.9600078,37.18564446
365 GeV,4C+ISR,<5 GeV,"E_isr_true_collinear<5",32431,10178,10178,10178,10178,4149,31.38355277,100,100,100,40.76439379,31.38355277,10178,0.01053176126,-0.08803772272,-0.008086400393,0.6223770781,0.6304634785,47.02207943,0.7141440439,26.11743065,25.40328661,46.73152696
365 GeV,4C+ISR,5-20 GeV,"E_isr_true_collinear>=5 && E_isr_true_collinear<20",5415,3933,3933,3932,3932,2696,72.63157895,100,99.97457412,99.97457412,68.56561546,72.61311173,3932,0.298254476,0.1197316279,-0.01675935061,-0.03644763671,-0.01968828611,31.57187155,11.34078616,19.73120404,8.390417885,27.58059671
365 GeV,4C+ISR,20-50 GeV,"E_isr_true_collinear>=20 && E_isr_true_collinear<50",3698,3081,3081,3080,3080,2096,83.31530557,100,99.96754301,99.96754301,68.05194805,83.28826393,3080,0.6777317228,0.3031672042,-0.7110452181,-0.3244324546,0.3866127636,31.4341407,32.63826887,35.68873431,3.050465436,21.68979697
365 GeV,4C+ISR,>=50 GeV,"E_isr_true_collinear>=50",3936,3507,3507,3506,3506,2204,89.10060976,100,99.9714856,99.9714856,62.86366229,89.07520325,3506,0.9368439977,0.7269798689,-0.1492854291,-0.2891236003,-0.1398381712,32.31473646,87.41023346,83.98043131,-3.429802151,23.58829698
365 GeV,5C+ISR,all,"1",45204,40766,40766,40744,40744,6548,90.18228475,100,99.94603346,99.94603346,16.07107795,90.13361649,40744,0.5896001195,0.5951227992,-0.02138246778,-0.09398754172,-0.07260507394,31.52549898,12.94785233,20.27244691,7.324594581,27.89418308
365 GeV,5C+ISR,<5 GeV,"E_isr_true_collinear<5",32266,27925,27925,27911,27911,4279,86.54620963,100,99.94986571,99.94986571,15.33087313,86.50282031,27911,0.05035595901,0.01397428997,-0.001160043199,0.04506047002,0.04622051322,27.0001888,0.5582887759,12.12336512,11.56507634,26.79690284
365 GeV,5C+ISR,5-20 GeV,"E_isr_true_collinear>=5 && E_isr_true_collinear<20",5392,5311,5311,5308,5308,1118,98.49777448,100,99.94351346,99.94351346,21.0625471,98.4421365,5308,0.3225438456,0.1114223086,0.1102671078,0.07868505859,-0.0315820492,28.60857475,11.03024237,17.14157441,6.111332035,25.43076193
365 GeV,5C+ISR,20-50 GeV,"E_isr_true_collinear>=20 && E_isr_true_collinear<50",3678,3669,3669,3669,3669,703,99.75530179,100,100,100,19.16053421,99.75530179,3669,0.5737963589,0.2283992048,-0.4159759964,-0.5482980587,-0.1323220623,35.38622314,32.50631582,31.66405847,-0.8422573595,26.27972775
365 GeV,5C+ISR,>=50 GeV,"E_isr_true_collinear>=50",3868,3861,3861,3856,3856,448,99.81902792,100,99.87049987,99.87049987,11.61825726,99.68976215,3856,0.8110543237,0.5073894895,0.02647531676,-0.905878084,-0.9323534008,53.91255227,86.65733866,72.72884477,-13.92849389,38.42544506
