energy_GeV,fit,pull_category,jet,variable,branch,stage,selection,selected_events,visible_fills,hist_mean,hist_rms,gaussian_mu,gaussian_mu_error,gaussian_sigma,gaussian_sigma_error,gaussian_fit_status,gaussian_chi2_ndf
162.5,4C,pull4C_standard,1,alpha,pull4C_standard_alpha_j1,before,pull4C_standard_valid > 0.5,45851,44427,-0.7163615114525737,1.0935897382229909,-0.6845869805566451,0.0037921291033564137,0.7421348643713506,0.004802898020779212,4000,66.43616502344241
162.5,4C,pull4C_standard,1,alpha,pull4C_standard_alpha_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,-0.6576142253530162,0.6414845467181985,-0.671300147510271,0.0033530437226904756,0.5812380156835911,0.0037496045047444304,4000,31.638076236757236
162.5,4C,pull4C_standard,1,theta,pull4C_standard_theta_j1,before,pull4C_standard_valid > 0.5,45851,39949,-0.005496241601204454,1.7051641671585522,0.0008846150492272951,0.0070168276280053645,1.2285573502093794,0.007917741613032159,4000,27.785140927292613
162.5,4C,pull4C_standard,1,theta,pull4C_standard_theta_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,0.0010146341766903752,1.0830146623215406,0.003413523536524572,0.006339523215910415,1.0852478852566412,0.006386415588054972,4000,17.1932410443681
162.5,4C,pull4C_standard,1,phi,pull4C_standard_phi_j1,before,pull4C_standard_valid > 0.5,45851,40416,-0.0028777395131077935,1.6484810969295622,-0.008861941033772741,0.006652255342088535,1.1852072492743826,0.0076105507457577826,4000,32.83178189745126
162.5,4C,pull4C_standard,1,phi,pull4C_standard_phi_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,-0.002895259776075531,1.046650477551541,-0.009257552713978637,0.005987739703432633,1.0300945171269447,0.006141650002065124,4000,20.39306294504685
162.5,4C,pull4C_standard,1,x,pull4C_standard_x_j1,before,pull4C_standard_valid > 0.5,45851,44436,-0.634262847773509,1.1192295634940639,-0.6180007010386765,0.0038878654475717417,0.7622021380077068,0.00495752623466833,4000,67.53076891313606
162.5,4C,pull4C_standard,1,x,pull4C_standard_x_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,-0.6087382033054316,0.6457248218337401,-0.6213391008572204,0.003391346142926593,0.58784134114275,0.0037979455380311444,4000,31.739069798281673
162.5,4C,pull4C_final,1,alpha,pull4C_final_alpha_j1,before,pull4C_final_valid > 0.5,45851,45261,-0.6501500572344577,0.9312222063249467,-0.6638317089911714,0.003262265895516763,0.6574497041758088,0.0039529242810282805,4000,62.495470870603555
162.5,4C,pull4C_final,1,alpha,pull4C_final_alpha_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,-0.6464656836643721,0.6621455449407408,-0.6618456113833958,0.003101795187035535,0.5954364320742717,0.0035202474257142735,4000,39.780147177763716
162.5,4C,pull4C_final,1,theta,pull4C_final_theta_j1,before,pull4C_final_valid > 0.5,45851,44139,0.009589436843805851,1.384028394065792,0.006389239281119105,0.005994186261933957,1.1669065412733053,0.006150659722772289,4000,19.659731939039084
162.5,4C,pull4C_final,1,theta,pull4C_final_theta_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,0.0024092593589045267,1.067979487055698,0.0037925187802046044,0.005616270243396601,1.0749337278579185,0.005305906818362405,4000,12.619768959578845
162.5,4C,pull4C_final,1,phi,pull4C_final_phi_j1,before,pull4C_final_valid > 0.5,45851,43724,0.011589163985939269,1.3661048231190207,-0.00653114324172793,0.005547796337959581,1.0777947924442128,0.006103635535975371,4000,34.98211941527469
162.5,4C,pull4C_final,1,phi,pull4C_final_phi_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,-0.003410860964559984,1.0256333148477463,-0.008713659867287707,0.005262211903816598,1.0057175307460227,0.005457100119091396,4000,26.710730815026647
162.5,4C,pull4C_final,1,x,pull4C_final_x_j1,before,pull4C_final_valid > 0.5,45851,45258,-0.5900248449406038,0.9440224514443115,-0.609935192035634,0.0033127088257439373,0.6675084175672266,0.004033401641620082,4000,63.59407447816649
162.5,4C,pull4C_final,1,x,pull4C_final_x_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,-0.5979174386030163,0.6658138069054049,-0.6122820775866998,0.0031335463502510856,0.6013284705077059,0.0035742141432755226,4000,40.39128975327651
162.5,4C,pull4C_standard,2,alpha,pull4C_standard_alpha_j2,before,pull4C_standard_valid > 0.5,45851,43905,-0.6339363525217802,1.139994859257935,-0.5774086910971106,0.0038948208096692455,0.7529592997317119,0.004919850483807442,4000,66.28658515001779
162.5,4C,pull4C_standard,2,alpha,pull4C_standard_alpha_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,-0.5699262609525602,0.6381423757513148,-0.5662669251567659,0.003407426890468419,0.5888769484535651,0.003718006058509693,4000,30.21750992788324
162.5,4C,pull4C_standard,2,theta,pull4C_standard_theta_j2,before,pull4C_standard_valid > 0.5,45851,39968,-0.002253805441067683,1.7006752861773273,0.005886518499758606,0.007032613093490619,1.231614204094514,0.007914230270497424,4000,27.742118958580875
162.5,4C,pull4C_standard,2,theta,pull4C_standard_theta_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,0.0018433842283969127,1.0824564226976374,0.004853515856130569,0.006333654232180626,1.0842834680664424,0.006374633386524331,4000,17.21726056300394
162.5,4C,pull4C_standard,2,phi,pull4C_standard_phi_j2,before,pull4C_standard_valid > 0.5,45851,40478,0.005117160187467958,1.6392810420589525,0.009332884286008853,0.0065780324024682325,1.1764389535984185,0.007521205883621818,4000,32.81710060009894
162.5,4C,pull4C_standard,2,phi,pull4C_standard_phi_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,0.0035542926903863277,1.0391632209588797,0.00746384633748657,0.0059274863489620225,1.021079088331654,0.0060683394114036115,4000,20.221244767832093
162.5,4C,pull4C_standard,2,x,pull4C_standard_x_j2,before,pull4C_standard_valid > 0.5,45851,43897,-0.5634271683612972,1.1627211769960089,-0.5163988373193057,0.003973630655980087,0.7704814713145602,0.005077667836867972,4000,66.38130148258732
162.5,4C,pull4C_standard,2,x,pull4C_standard_x_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,-0.5219223570939557,0.6450584674808874,-0.516527863059738,0.003452835616163576,0.5973783313376708,0.0037624424212591157,4000,29.676453073508586
162.5,4C,pull4C_final,2,alpha,pull4C_final_alpha_j2,before,pull4C_final_valid > 0.5,45851,44955,-0.6266709620275706,0.942577505537869,-0.5775160093499317,0.003295625969041657,0.6566235741511203,0.003933961777786321,4000,58.51791509561521
162.5,4C,pull4C_final,2,alpha,pull4C_final_alpha_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,-0.5751689684700778,0.654326794966896,-0.5679394729486321,0.0031167735056252203,0.5968682877060696,0.003440394406449887,4000,38.10353771996371
162.5,4C,pull4C_final,2,theta,pull4C_final_theta_j2,before,pull4C_final_valid > 0.5,45851,44183,0.010308010735951926,1.3836860112055585,0.0024079407426344348,0.005941183008642226,1.1577160176286723,0.006151941338731093,4000,21.257079814424415
162.5,4C,pull4C_final,2,theta,pull4C_final_theta_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,0.0009155194503448896,1.0646320994248568,0.001454988427858545,0.0055753777801302255,1.067021420355275,0.005347019120033325,4000,14.316246338597967
162.5,4C,pull4C_final,2,phi,pull4C_final_phi_j2,before,pull4C_final_valid > 0.5,45851,43696,-0.006757151718691115,1.3590571274887815,0.007545356812968599,0.0055125778440707875,1.0722709999672593,0.006045062213337005,4000,34.79228534833037
162.5,4C,pull4C_final,2,phi,pull4C_final_phi_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,0.004626637452064689,1.0205808533407434,0.008309753636570572,0.005229667607818735,1.000494785513438,0.005401298230124918,4000,26.21666398535377
162.5,4C,pull4C_final,2,x,pull4C_final_x_j2,before,pull4C_final_valid > 0.5,45851,44958,-0.5708304110553484,0.9539292372599272,-0.5256405169121741,0.0033319502388745995,0.6649392216960558,0.003993290349534273,4000,58.23141136424813
162.5,4C,pull4C_final,2,x,pull4C_final_x_j2,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39168,39168,-0.5277636150450892,0.6608498558035855,-0.5191452946241915,0.0031527717435677768,0.6044906836088028,0.003478212549442916,4000,37.20784214909037
162.5,4C,pull4C_standard,3,alpha,pull4C_standard_alpha_j3,before,pull4C_standard_valid > 0.5,45851,43546,-0.6234565488938373,1.2172214479516688,-0.5754577270978913,0.004306044481127145,0.8276601376212669,0.005430018661062297,4000,61.459762106580364
162.5,4C,pull4C_standard,3,alpha,pull4C_standard_alpha_j3,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,-0.5681707539313694,0.694648799976278,-0.5662726964429976,0.0037428778860601098,0.6473072779714854,0.004118386164590537,4000,29.87324159583192
162.5,4C,pull4C_standard,3,theta,pull4C_standard_theta_j3,before,pull4C_standard_valid > 0.5,45851,40009,0.002190805591254047,1.6983942175861682,-0.0004251567468445407,0.0070519028942276326,1.2349432354339185,0.007976100394365804,4000,28.33057929431425
