energy_GeV,figure,panel,curve,expressions,selection,selected_events,finite_fills,visible_fills,mean,mean_error,stddev,stddev_error
240.0,7.9,mass,without ISR treatment,mW_5C,standard_5C_valid > 0.5,45771,45771,45305,80.74719528056785,0.042884083738616983,9.127864883375127,0.030323626416547816
240.0,7.9,mass,with ISR treatment,mW_5C_final,standard_5C_valid > 0.5,45771,45771,44804,78.27533760041852,0.04617450663470652,9.773737215660914,0.0326503067593442
240.0,7.9,probability,without ISR treatment,prob_5C,standard_5C_valid > 0.5,45771,45771,45771,0.03775769530712738,0.0007375739856950949,0.15779774446483427,0.0005215435669117912
240.0,7.9,probability,with ISR treatment,prob_final_5C,standard_5C_valid > 0.5,45771,45771,45771,0.10836100755556678,0.001170397591655918,0.2503967109365015,0.0008275960737443034
240.0,7.10,smaller,raw dijet mass,m_small_raw,1,45830,45830,44385,73.01177486201806,0.048590219203497924,10.236864867653523,0.03435847349813418
240.0,7.10,smaller,4C with ISR treatment,m_small_4C_final,standard_4C_valid > 0.5,45815,45815,44328,73.80370895140999,0.04863417382571422,10.239543875706936,0.03438955410956782
240.0,7.10,smaller,5C with ISR treatment,mW_5C_final,standard_5C_valid > 0.5,45771,45771,44804,78.27533760041852,0.04617450663470652,9.773737215660914,0.0326503067593442
240.0,7.10,larger,raw dijet mass,m_large_raw,1,45830,45830,45029,85.30329868579526,0.04727105633154313,10.030935974859519,0.03342568448588543
240.0,7.10,larger,4C with ISR treatment,m_large_4C_final,standard_4C_valid > 0.5,45815,45815,44944,86.02688146435354,0.047227147865699065,10.012155347528202,0.03339463651193559
240.0,7.10,larger,5C with ISR treatment,mW_5C_final,standard_5C_valid > 0.5,45771,45771,44804,78.27533760041852,0.04617450663470652,9.773737215660914,0.0326503067593442
240.0,Appendix B.4,smaller,4C without ISR treatment; no probability requirement,m_small_4C,standard_4C_valid > 0.5,45815,45815,43947,74.64719748364094,0.048606071781579975,10.189553192178973,0.03436968296359529
240.0,Appendix B.4,smaller,4C without ISR treatment; P_4C>0.03,m_small_4C,(standard_4C_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,28621,75.55058414966638,0.05325098010333877,9.008863514825501,0.037654129135900764
240.0,Appendix B.4,larger,4C without ISR treatment; no probability requirement,m_large_4C,standard_4C_valid > 0.5,45815,45815,44753,87.38445471519678,0.04962569744642815,10.49826908517681,0.035090667185481275
240.0,Appendix B.4,larger,4C without ISR treatment; P_4C>0.03,m_large_4C,(standard_4C_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,28557,86.46231041805507,0.05524777754005651,9.336220561523351,0.03906607814405979
240.0,Appendix B.4,equal mass,5C without ISR treatment; no probability requirement,mW_5C,standard_5C_valid > 0.5,45771,45771,45305,80.74719528056785,0.042884083738616983,9.127864883375127,0.030323626416547816
240.0,Appendix B.4,equal mass,5C without ISR treatment; P_5C>0.03,mW_5C,(standard_5C_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,3666,80.67497293479573,0.0669370380669867,4.052870447097264,0.047331633529708365
